Czech,English
část,part
Dějiny,history
Vyhledávání,search
pouze,only
POLICIE,police
myslel,thought
Pomoc,help
žádost,request
druh,kind
Měsíc,month
bratr,brother
nechat,let
protože,because
dát,to put
Ne,no
řemínek,leash
jim,them
město,city
každý,each
mluvit,speak
Přijít,come
by měl,should
dítě,baby
dlouho,long time
hodiny,hours
vůle,will
zatímco,while
potkat se znovu,meet again
žádný,any
náměstí,square
mluvit,speak
pochopeno,understood
věděl,knew
byly,were
Varování,Warning
tady je,here is
mohl,could
pouzdro,case
dát,give
typ,type
jejich,their
dané,given
vlak,train
tělo,body
místo,place
oči,eyes
způsob,way
poslouchat,listen
jehož,whose
nalézt,find
za prvé,first
ztracený,lost
ruka,hand
za prvé,first
boční,side
Napájení,power
starý,old
být,be
tady,here
ráno,morning
tak moc,so much
dítě,child
směřovat,point
přišel,came
po,after
Promiňte,sorry
Přijít,come
vůči,towards
minut,minutes
žádost,request
ložnice,bedroom
umístěné,placed
Krásná,beautiful
zákon,law
chtěl bys,would like to
dnes,today
manžel,husband
způsobit,cause
Konečně,finally
naděje,hope
voda,water
Počkejte,Wait
"vlevo, odjet",left
Nový,new
práce,job
Stop,Stop
řekl,would say
Země,Earth
účet,account
dané,given
daleko,far
věřit,believe
miláček,sweetheart
spíše,rather
budu mít,will have
Dívky,girls
hrát,to play
kancelář,office
